case,temp,tray spacing,dist flow,cond liq flow
Case 406,13.5,0.42,<empty>,36751.04092
Case 407,13.5,0.43,<empty>,36751.04092
Case 408,13.5,0.44,<empty>,36751.04092
Case 409,13.5,0.45,<empty>,36751.04092
Case 410,13.5,0.46,<empty>,36751.04092
Case 411,13.5,0.47,<empty>,36751.04092
Case 412,13.5,0.48,<empty>,36751.04092
Case 413,13.5,0.49,<empty>,36751.04092
Case 414,13.5,0.5,<empty>,36751.04092
Case 415,13.5,0.51,<empty>,36751.04092
Case 416,13.5,0.52,<empty>,36751.04092
Case 417,13.5,0.53,<empty>,36751.04092
Case 418,13.5,0.54,<empty>,36751.04092
Case 419,13.5,0.55,<empty>,36751.04092
Case 420,13.5,0.56,<empty>,36751.04092
Case 421,13.5,0.57,<empty>,36751.04092
Case 422,13.5,0.58,<empty>,36751.04092
Case 423,13.5,0.59,<empty>,36751.04092
Case 424,13.5,0.6,<empty>,36751.04092
Case 425,13.5,0.61,<empty>,36751.04092
Case 426,13.5,0.62,<empty>,36751.04092
Case 427,13.5,0.63,<empty>,36751.04092
Case 428,13.5,0.64,<empty>,36751.04092
Case 429,13.5,0.65,<empty>,36751.04092
Case 430,13.5,0.66,<empty>,36751.04092
Case 431,13.5,0.67,<empty>,36751.04092
Case 432,13.5,0.68,<empty>,36751.04092
Case 433,13.5,0.69,<empty>,36751.04092
Case 434,13.5,0.7,<empty>,36751.04092
Case 435,13,0.4,<empty>,24531.36845
Case 436,13,0.41,<empty>,24531.36845
Case 437,13,0.42,<empty>,24531.36845
Case 438,13,0.43,<empty>,24531.36845
Case 439,13,0.44,<empty>,24531.36845
Case 440,13,0.45,<empty>,24531.36845
Case 441,13,0.46,<empty>,24531.36845
Case 442,13,0.47,<empty>,24531.36845
Case 443,13,0.48,<empty>,24531.36845
Case 444,13,0.49,<empty>,24531.36845
Case 445,13,0.5,<empty>,24531.36845
Case 446,13,0.51,<empty>,24531.36845
Case 447,13,0.52,<empty>,24531.36845
Case 448,13,0.53,<empty>,24531.36845
Case 449,13,0.54,<empty>,24531.36845
Case 450,13,0.55,<empty>,24531.36845
Case 451,13,0.56,<empty>,24531.36845
Case 452,13,0.57,<empty>,24531.36845
Case 453,13,0.58,<empty>,24531.36845
Case 454,13,0.59,<empty>,24531.36845
Case 455,13,0.6,<empty>,24531.36845
Case 456,13,0.61,<empty>,24531.36845
Case 457,13,0.62,<empty>,24531.36845
Case 458,13,0.63,<empty>,24531.36845
Case 459,13,0.64,<empty>,24531.36845
Case 460,13,0.65,<empty>,24531.36845
Case 461,13,0.66,<empty>,24531.36845
Case 462,13,0.67,<empty>,24531.36845
Case 463,13,0.68,<empty>,24531.36845
Case 464,13,0.69,<empty>,24531.36845
Case 465,13,0.7,<empty>,24531.36845
Case 466,12.5,0.4,<empty>,22553.81529
Case 467,12.5,0.41,<empty>,22553.81529
Case 468,12.5,0.42,<empty>,22553.81529
Case 469,12.5,0.43,<empty>,22553.81529
Case 470,12.5,0.44,<empty>,22553.81529
Case 471,12.5,0.45,<empty>,22553.81529
Case 472,12.5,0.46,<empty>,22553.81529
Case 473,12.5,0.47,<empty>,22553.81529
Case 474,12.5,0.48,<empty>,22553.81529
Case 475,12.5,0.49,<empty>,22553.81529
Case 476,12.5,0.5,<empty>,22553.81529
Case 477,12.5,0.51,<empty>,22553.81529
Case 478,12.5,0.52,<empty>,22553.81529
Case 479,12.5,0.53,<empty>,22553.81529
Case 480,12.5,0.54,<empty>,22553.81529
Case 481,12.5,0.55,<empty>,22553.81529
Case 482,12.5,0.56,<empty>,22553.81529
Case 483,12.5,0.57,<empty>,22553.81529
Case 484,12.5,0.58,<empty>,22553.81529
Case 485,12.5,0.59,<empty>,22553.81529
Case 486,12.5,0.6,<empty>,22553.81529
Case 487,12.5,0.61,<empty>,22553.81529
Case 488,12.5,0.62,<empty>,22553.81529
Case 489,12.5,0.63,<empty>,22553.81529
Case 490,12.5,0.64,<empty>,22553.81529
Case 491,12.5,0.65,<empty>,22553.81529
Case 492,12.5,0.66,<empty>,22553.81529
Case 493,12.5,0.67,<empty>,22553.81529
Case 494,12.5,0.68,<empty>,22553.81529
Case 495,12.5,0.69,<empty>,22553.81529
Case 496,12.5,0.7,<empty>,22553.81529
Case 497,12,0.4,<empty>,29135.52286
Case 498,12,0.41,<empty>,29135.52286
Case 499,12,0.42,<empty>,29135.52286
Case 500,12,0.43,<empty>,29135.52286
Case 501,12,0.44,<empty>,29135.52286
Case 502,12,0.45,<empty>,29135.52286
Case 503,12,0.46,<empty>,29135.52286
Case 504,12,0.47,<empty>,29135.52286
Case 505,12,0.48,<empty>,29135.52286
Case 506,12,0.49,<empty>,29135.52286
Case 507,12,0.5,<empty>,29135.52286
Case 508,12,0.51,<empty>,29135.52286
Case 509,12,0.52,<empty>,29135.52286
Case 510,12,0.53,<empty>,29135.52286
Case 511,12,0.54,<empty>,29135.52286
Case 512,12,0.55,<empty>,29135.52286
Case 513,12,0.56,<empty>,29135.52286
Case 514,12,0.57,<empty>,29135.52286
Case 515,12,0.58,<empty>,29135.52286
Case 516,12,0.59,<empty>,29135.52286
Case 517,12,0.6,<empty>,29135.52286
Case 518,12,0.61,<empty>,29135.52286
Case 519,12,0.62,<empty>,29135.52286
Case 520,12,0.63,<empty>,29135.52286
